Abbr,Term
EDDM,Munich Airport in Bavaria (Germany)
KATL,Hartsfield-Jackson Atlanta International Airport (USA)
KBWI,Baltimore/Washington International Airport in Baltimore (USA)
KIAD,Washington Dulles International Airport in Virginia (USA)
KDFW,Dallas/Fort Worth International Airport (USA)
WSSL,Seletar Airport in Singapore
WSSS,Changi Airport in Singapore
ZGGG,Guangzhou Baiyun International Airport in China
ZUUU,Chengdu Shuangliu International Airport in China
