Abbreviation,Definition
EOD,Explosive Ordnance Disposal
HQ,Headquarters
OP,Observation Post
POW,Prisoner of War
RPG,Rocket Propelled Grenade
SOP,Standard Operating Procedure
TS,Top Secret
