Abbr,Term,Country
02PN,Peco Berwyn Heliport,US
02PR,Cuylers Airport,PR
02PS,Hughes Ultralightport,US
02SC,Harpers Airport,US
02T,Wise River Airport,US
02TA,Matagorda Shore Facility Heliport,US
02TE,Baylor Medical Center Heliport,US
02TN,Ellis Field,US
02TS,FWOMC Heliport,US
02TX,The Palms At Kitty Hawk Airport,US
02UT,Lucin Airport,US
02VA,The Greenhouse Airport,US
02VG,Northstar Aviation Heliport,US
02WA,Cawleys South Prairie Airport,US
02WI,Beer Airport,US
02WN,Fowler Field,US
02XA,JLS Farms Airport,US
02XS,Seidel Ranch Airport,US
03AA,Trapper T Heliport,US
03AK,Joe Clouds Seaplane Base,US
03AL,Highland Medical Center Heliport,US
03AR,Hscmh Heliport,US
03AZ,Thompson International Aviation Airport,US
03CA,Grossmont Hospital Heliport,US
03CO,Kugel-Strong Airport,US
03FA,Lake Persimmon Airstrip,US
03FD,Tharpe Airport,US
03FL,Ranger Heliport,US
03GA,HIA Airport,US
03I,Clarks Dream Strip,US
03IA,East Field,US
03ID,Flying Y Ranch Airport,US
03II,Davis Field Ultralightport,US
03IL,Wix Airport,US
03IN,Heinzman Airport,US
03IS,OSF St Anthony's Health Center Heliport,US
03KS,Valley Grain Heliport,US
03KY,Flying H Farms Airport,US
03LA,Damien Heliport,US
03LS,Fmc Nr 1 Heliport,US
03M,Lakeside Marina Seaplane Base,US
03MA,Hadley Airport,US
03MD,Upper Chesapeake Medical Center Heliport,US
03ME,Maple Ridge Airport,US
03MI,Harold Miller Heliport,US
03MN,Nauerth Land Ranch Airport,US
03MO,Cahoochie Airport,US
03MS,Vicksburg Medical Center Heliport,US
03MT,Cascade Field,US
03MU,McDonnell Airport,US
03N,Utirik Airport,MH
03NC,Pilots Ridge Airport,US
03ND,Olafson Brothers Airport,US
03NE,Hyde Ranch Airport,US
03NH,Lorden Heliport,US
03NJ,AT&T Heliport,US
03NM,Miner's Colfax Medical Center Heliport,US
03NR,Johnston Medical Center Heliport,US
03NV,Llama Ranch Airport,US
03NY,Talmage Field,US
03OH,Gibbs Field,US
03OI,"Cleveland Clinic, Marymount Hospital Heliport",US
03OK,Sahoma Lake Airport,US
03OL,Bluebird Airport,US
03OR,Powwatka Ridge Airport,US
03PA,Collegeville Heliport,US
03PN,M.P. Metals Heliport,US
03PR,Sun View Field Airport,US
03PS,Ziggy's Field,US
03S,Sandy River Airport,US
03SC,Seacoast Medical Center Heliport,US
03TA,Gay Hill Farm Airport,US
03TE,Barronena Ranch Airport,US
03TN,Eagles Landing Heliport,US
03TS,Shannon Medical Center Heliport,US
03TT,Brazos Polo Airport,US
03TX,M D K Field Heliport,US
03UT,AZ Minerals Corporation Airport,US
03VA,Whipoorwill Springs Airport,US
03WA,Spangle Field,US
03WI,Zink Airport,US
03WN,Aerostone Ranch Airport,US
03WT,Lopez Medical Clinic Heliport,US
03XA,Del Sol Medical Center Heliport,US
03XS,Creekside Airport,US
04AA,Flying W Ranch Airport,US
04AL,Anniston AHP (Anniston Army Depot),US
04AR,Saline Memorial Hospital Heliport,US
04AZ,Chinle Airport,US
04CA,Gray Butte Field,US
04CL,Hunt's Sky Ranch Airport,US
04CT,Shingle Mill Heliport,US
04F,De Leon Municipal Airport,US
04FA,Richards Field,US
04FD,Tampa General Hospital Brandon Healthplex Heliport,US
04FL,Cross Creek Farms Airport,US
04I,Columbus Southwest Airport,US
04IA,Middlekoop Airport,US
04ID,Lanham Field,US
04II,Turkey Run Airport,US
04IL,Schertz Aerial Service - Hudson Airport,US
04IN,Lake Gage Seaplane Base,US
04IS,Van Gorder Airport,US
04KS,Robinson Industries Heliport,US
04KY,Natchez Trace Farm Airport,US
04LA,Saint James Parish Hospital Heliport,US
04LL,Brunner Airport,US
04LS,La National Guard Heliport,US
04MA,Goddard Field,US
04MD,Chesapeake City Heliport,US
04ME,Beech Hill Airport,US
04MI,Rapids Airway Airport,US
04MN,Helblad Airport,US
04MO,Airpark Private Airport,US
04MS,Nick's Flying Service Inc Airport,US
04MT,Pluhar Airport,US
04NC,Western Wake Medical Center Heliport,US
04NE,Mc Connell Field Airport,US
04NJ,Emmanuel Airport,US
04NR,McGee 04 Heliport,US
04NV,Kingston Ranch Airport,US
04NY,Klaverack Airport,US
04OG,Teufel Heliport,US
04OH,Bossow Airport,US
04OK,Stillwater Medical Center Heliport,US
04OR,Collins Landing Strip,US
04PA,S & C Distribution Center Heliport,US
04PN,Strawbridge & Clothier Exton Heliport,US
04SC,Emergency Helipad,US
04SD,Cheyenne River Health Center Heliport,US
04TA,Capitol National Bank Building Heliport,US
04TE,Veterans Affairs Medical Center Heliport,US
04TN,Hensley Airpark,US
04TS,Hummingbird Heliport,US
04TT,4D Ranch Airport,US
04TX,Pocock Airport,US
04UT,Navajo Mountain Airport,US
04V,Saguache Municipal Airport,US
04VA,Russell County Medical Center Heliport,US
04VG,Manquin Flight Park Ultralightport,US
04VT,Lightning Bolt Field Airport,US
04W,Field of Dreams Airport,US
04WA,Ox Meadows Airport,US
04WI,Dutch Gap Airstrip,US
04WN,Stillwater Creek Airport,US
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US
04XA,Pecan Field,US
04XS,Schmidts Heliport,US
05AK,Wasilla Creek Airpark,US
05AL,Allen Stagefield Army Heliport,US
05AR,Ozark Skies Airpark,US
05AZ,Yuma Regional Medical Center Heliport,US
05B,Van Buren Seaplane Base,US
05CA,Lost Hills Sheriff's Station Heliport,US
05CL,Pope Valley Airport,US
05CO,Rancho de Aereo Airport,US
05CT,O And G Heliport,US
05FA,Melanie's Airport,US
05FD,Aventura Heliport,US
05FL,Charlton Strip,US
05GA,Raju Airport,US
05IA,Spotts Field,US
05ID,Running Creek Ranch Airport,US
05II,Reichhart Airport,US
05IL,Classic Landings Airport,US
05IN,Cooper Airport,US
05IS,Hardy Airport,US
05KS,Darbro Field,US
05KT,High Point Farm Airport,US
05KY,Cartersville Airport,US
05LA,Greg's Flying Service Airport,US
05LL,Midwest Heliport,US
05LS,Grass Roots Airport,US
05M,Pauls Valley General Hospital Heliport,US
05MA,Bentley Heliport,US
05MD,Breezecroft Airport,US
05ME,Drisko Airport,US
05MI,Beaumont Hospital Taylor Heliport,US
05MN,Northern Pines Medical Center Heliport,US
05MO,Portageville Community Heliport,US
05MS,VA Medical Center Jackson Heliport,US
05MT,Jones Landing Airport,US
05NC,Brunswick Community Hospital Heliport,US
05NE,Mc Kay Airport,US
05NH,Stumpfield Heliport,US
05NJ,Paulus Hook Pier Heliport,US
05NV,Baker Ranches Airport,US
05NY,Oswego County At Pulaski Heliport,US
05OG,Drill Field Pad Heliport,US
05OH,Eaglecrest Field,US
05OI,Dorlon Airpark,US
05OK,Hawk Haven Airport,US
05OR,Peacock Ranch Airport,US
05PA,PECO Mob. Heliport,US
05PN,State Police Area Iii Heliport,US
05PS,Mills Brothers Airport,US
05S,Vernonia Airfield,US
05TA,Brandes Air Field,US
05TE,Hilde-Griff Field,US
05TN,Thurmond Glenn Field,US
05TS,Dew Drop Airport,US
05TX,Circle A Ranch Airport,US
05UT,Oljato Airport,US
05V,Blanca Airport,US
05VA,Providence Airport,US
05VT,Port of Highgate Springs Heliport,US
05WA,Sacred Heart Medical Center Helistop,US
05WI,Ames Private Airport,US
05WN,Flat Creek Field,US
05XA,Moore County Hospital District Heliport,US
05XS,Johnson Memorial Airport,US
05Y,Henning Municipal Airport,US
06AA,Twisted Sisters Airport,US
06AK,June Lake Airpark,US
06AL,Brown Stagefield Army Heliport,US
06AR,Bondair Airport,US
06AZ,Mercy Gilbert Medical Center Heliport,US
06B,Lucky Landing Marina and Seaplane Base,US
06CA,SCE Solar I Heliport,US
06CL,Abc7-Tv Heliport,US
06CO,Jecan Airport,US
06FA,William P Gwinn Airport,US
06FD,Grass Roots Airpark,US
06FL,Morton Plant Hospital Heliport,US
06GA,Smith Heliport,US
06I,Patoka Reservoir Landing Area Seaplane Base,US
06IA,Rich Field,US
06ID,Larkin Airport,US
06IL,Humm Airport,US
06IS,Sinele Strip,US
06KS,Riverside Hospital Airlift Heliport,US
06KY,Falcon Heliport,US
06LA,Panther Helicopters Inc Heliport,US
06LL,Hammersmith Heliport,US
06LS,Tembec Heliport,US
06MA,The Barn Heliport,US
06MD,Johns Hopkins Bayview Hospital Heliport,US
06ME,Barker Heliport,US
06MI,W A Foote Memorial Hospital Heliport,US
06MO,Noahs Ark Airport,US
06MT,Torgerson Airport,US
06N,Randall Airport,US
06NC,Tailwinds Airport,US
06ND,Fitterer's Strip,US
06NE,St Marys Hospital Heliport,US
06NH,Cole Farm Airport,US
06NJ,Chemical Bank - New Jersey Na Heliport,US
06NV,Silver Creek Airport,US
06NY,Murphy Field,US
06O1,Saint Elizabeth Medical Center Heliport,US
06OH,Hal Joy Airfield,US
06OI,Green Acres Airport,US
06OK,Albert Lodge Heliport,US
