TERM,MEANING
Crimson Glory,RGB #be0032
Cyan,RGB #0ff
Cyan (Process),RGB #00b7eb
Daffodil,RGB #ffff31
Dandelion,RGB #f0e130
Dark Blue,RGB #00008b
Dark Brown,RGB #654321
Dark Byzantium,RGB #5d3954
Dark Candy Apple Red,RGB #a40000
Dark Cerulean,RGB #08457e
Dark Chestnut,RGB #986960
Dark Coral,RGB #cd5b45
Dark Cyan,RGB #008b8b
Dark Electric Blue,RGB #536878
Dark Goldenrod,RGB #b8860b
Dark Gray,RGB #a9a9a9
Dark Green,RGB #013220
Dark Imperial Blue,RGB #00416a
Dark Jungle Green,RGB #1a2421
Dark Khaki,RGB #bdb76b
Dark Lava,RGB #483c32
Dark Lavender,RGB #734f96
Dark Magenta,RGB #8b008b
Dark Midnight Blue,RGB #036
Dark Olive Green,RGB #556b2f
Dark Orange,RGB #ff8c00
Dark Orchid,RGB #9932cc
Dark Pastel Blue,RGB #779ecb
Dark Pastel Green,RGB #03c03c
Dark Pastel Purple,RGB #966fd6
Dark Pastel Red,RGB #c23b22
Dark Pink,RGB #e75480
Dark Powder Blue,RGB #039
Dark Raspberry,RGB #872657
Dark Red,RGB #8b0000
Dark Salmon,RGB #e9967a
Dark Scarlet,RGB #560319
Dark Sea Green,RGB #8fbc8f
Dark Sienna,RGB #3c1414
Dark Slate Blue,RGB #483d8b
Dark Slate Gray,RGB #2f4f4f
Dark Spring Green,RGB #177245
Dark Tan,RGB #918151
Dark Tangerine,RGB #ffa812
Dark Taupe,RGB #483c32
Dark Terra Cotta,RGB #cc4e5c
Dark Turquoise,RGB #00ced1
Dark Violet,RGB #9400d3
Dark Yellow,RGB #9b870c
Dartmouth Green,RGB #00703c
Davy'S Grey,RGB #555
Debian Red,RGB #d70a53
Deep Carmine,RGB #a9203e
Deep Carmine Pink,RGB #ef3038
Deep Carrot Orange,RGB #e9692c
Deep Cerise,RGB #da3287
Deep Champagne,RGB #fad6a5
Deep Chestnut,RGB #b94e48
Deep Coffee,RGB #704241
Deep Fuchsia,RGB #c154c1
Deep Jungle Green,RGB #004b49
Deep Lilac,RGB #95b
Deep Magenta,RGB #c0c
Deep Peach,RGB #ffcba4
Deep Pink,RGB #ff1493
Deep Ruby,RGB #843f5b
Deep Saffron,RGB #f93
Deep Sky Blue,RGB #00bfff
Deep Tuscan Red,RGB #66424d
Denim,RGB #1560bd
Desert,RGB #c19a6b
Desert Sand,RGB #edc9af
Dim Gray,RGB #696969
Dodger Blue,RGB #1e90ff
Dogwood Rose,RGB #d71868
Dollar Bill,RGB #85bb65
Drab,RGB #967117
Duke Blue,RGB #00009c
Earth Yellow,RGB #e1a95f
Ebony,RGB #555d50
Ecru,RGB #c2b280
Eggplant,RGB #614051
Eggshell,RGB #f0ead6
Egyptian Blue,RGB #1034a6
Electric Blue,RGB #7df9ff
Electric Crimson,RGB #ff003f
Electric Cyan,RGB #0ff
Electric Green,RGB #0f0
Electric Indigo,RGB #6f00ff
Electric Lavender,RGB #f4bbff
Electric Lime,RGB #cf0
Electric Purple,RGB #bf00ff
Electric Ultramarine,RGB #3f00ff
Electric Violet,RGB #8f00ff
Electric Yellow,RGB #ff0
Emerald,RGB #50c878
English Lavender,RGB #b48395
Eton Blue,RGB #96c8a2
Fallow,RGB #c19a6b
Falu Red,RGB #801818
Fandango,RGB #b53389
Fashion Fuchsia,RGB #f400a1
Fawn,RGB #e5aa70
Feldgrau,RGB #4d5d53
Fern Green,RGB #4f7942
Ferrari Red,RGB #ff2800
Field Drab,RGB #6c541e
Fire Engine Red,RGB #ce2029
Firebrick,RGB #b22222
Flame,RGB #e25822
Flamingo Pink,RGB #fc8eac
Flavescent,RGB #f7e98e
Flax,RGB #eedc82
Floral White,RGB #fffaf0
Fluorescent Orange,RGB #ffbf00
Fluorescent Pink,RGB #ff1493
Fluorescent Yellow,RGB #cf0
Folly,RGB #ff004f
Forest Green (Traditional),RGB #014421
Forest Green (Web),RGB #228b22
French Beige,RGB #a67b5b
French Blue,RGB #0072bb
French Lilac,RGB #86608e
French Lime,RGB #cf0
French Raspberry,RGB #c72c48
French Rose,RGB #f64a8a
Fuchsia,RGB #f0f
Fuchsia (Crayola),RGB #c154c1
Fuchsia Pink,RGB #f7f
Fuchsia Rose,RGB #c74375
Fulvous,RGB #e48400
Fuzzy Wuzzy,RGB #c66
Gainsboro,RGB #dcdcdc
Gamboge,RGB #e49b0f
Ghost White,RGB #f8f8ff
Ginger,RGB #b06500
Glaucous,RGB #6082b6
Glitter,RGB #e6e8fa
Gold (Metallic),RGB #d4af37
