TERM,MEANING
0DG,Zero Degrees Parallel
AAGIS,Ann Arbor Geographic Information System
AGS,Applied Geographic Solutions
AIMS,Aid Information Mapping Services
CDPD,Consumption Driven Population Dynamics
CGRS,Common Geographic Reference System
CGRS,Common Grid Reference System
