Domain
a.root-servers.net
accounts.google.com
activity.windows.com
airbnb.at
airbnb.com
airbnb.de
aka.ms
alternate.de
api.dropboxapi.com
api.met.no
api.serenade.ai
api1.origin.com
arc.msn.com
arte.tv
assets.msn.com
amazon.com
amazon.co.uk
amazon.de
amazon.fr
amazon.it
b.root-servers.net
banking.ing-diba.de
bing.com
bing.de
bing.fr
bitbucket.org
blitzortung.org
bolt.dropbox.com
c.root-servers.net
catalog.gamepass.com
changelogs.ubuntu.com
client.dropbox.com
client.wns.windows.com
clients1.google.com
clients2.google.com
clients3.google.com
clients4.google.com
contacts.google.com
d.dropbox.com
d.root-servers.net
dasoertliche.de
deepl.com
dell.com
de.yahoo.com
discord.com
discordapp.com
dhl.de
download.windowsupdate.com
duckduckgo.com
e.root-servers.net
earth.google.com
ebay.com
ebay.de
ebay.fr
ebook3000.com
edition.cnn.com
f.root-servers.net
facebook.com
facebook.de
facebook.fr
flightradar24.com
fonts.google.com
fonts.googleapis.com
fonts.gstatic.com
foto-webcam.eu
foursquare.com
g.root-servers.net
github.com
github.map.fastly.net
gmail.com
google.at
google.com
google.de
google.fr
google.it
googleapis.com
gstatic.com
h.root-servers.net
holidaycheck.de
hornbach.de
i.root-servers.net
i.ytimg.com
IEEE.org
ibm.com
icons8.com
imap.googlemail.com
install.robertsspaceindustries.com
ipfs.io
ipv6.msftconnecttest.com
j.root-servers.net
k.root-servers.net
l.root-servers.net
launcher2.robertsspaceindustries.com
licensing.mp.microsoft.com
live.github.com
live.thunderbird.net
livepatch.canonical.com
login.live.com
longfiles.com
m.root-servers.net
mail.google.com
map.blitzortung.org
maps.google.com
maps.google.de
maps.google.fr
microsoft.com
mozilla.org
mtalk.google.com
music.google.com
news.google.com
news.google.de
news.google.fr
news.url.google.com
ntp.ubuntu.com
ogs.google.com
open.spotify.com
opera.com
photos.google.com
pixabay.com
play.google.com
plex.tv
presence.teams.microsoft.com
ptbtime1.ptb.de
ptbtime2.ptb.de
ptbtime3.ptb.de
redhat.com
reichelt.de
robertsspaceindustries.com
secure.download.dm.origin.com
semonkeys.net
settings.data.microsoft.com
settings-win.data.microsoft.com
sites.google.com
slashdot.org
speed.cloudflare.com
speedtest.net
ssl.gstatic.com
stackoverflow.com
start.thunderbird.net
static.nvidiagrid.net
storage.googleapis.com
substrate.office.com
sunnyportal.com
t-online.de
t0.gstatic.com
teams.microsoft.com
telemetry.dropbox.com
tile-service.weather.microsoft.com
time.windows.com
toggl.com
toom.de
track.toggl.com
translate.google.de
twitter.com
twitter.de
ubuntu.com
update.googleapis.com
wetter.com
wttr.in
www.apple.com
www.arte.tv
www.bbc.co.uk
www.bild.de
www.booking.com
www.cdc.gov
www.dropbox.com
www.ecosia.org
www.etsy.com
www.expedia.com
www.fleschutz.de
www.focus.de
www.foto-webcam.eu
www.golem.de
www.google.com
www.googleapis.com
www.gstatic.com
www.heise.de
www.hulu.com
www.instagram.com
www.msn.com
www.nasa.gov
www.netflix.com
www.nytimes.com
www.paypal.com
www.redbull.com
www.schneier.com
www.techstage.de
www.tiktok.com
www.ufainc.com
www.walmart.com
www.whatsapp.com
www.whitehouse.gov
www.windy.com
www.wikipedia.at
www.wikipedia.de
www.wikipedia.fr
www.wikipedia.org
www.wired.com
www.youtube.com
www.zdf.de
