URL,Directory
"https://github.com/commonmark/cmark", "cmark"
"https://github.com/elastic/elasticsearch", "elasticsearch"
"https://github.com/opencv/opencv", "opencv"
"https://github.com/openzfs/zfs", "zfs"
"https://github.com/synesthesiam/voice2json", "voice2json"
"https://github.com/fleschutz/CWTS", "CWTS"
"https://github.com/fleschutz/PowerShell", "PowerShell"
"https://github.com/fleschutz/LSS", "LSS"
"https://github.com/fleschutz/eventdriven", "eventdriven"
"https://github.com/fleschutz/base256unicode", "base256unicode"
